DATE,EASTERN GAME TIME,LOCAL GAME TIME,REST DAYS,ROAD TEAM,HOME TEAM,REST DAYS,ARENA
11/10,3:30 PM,2:30 PM,1,Denver Nuggets,Minnesota Timberwolves,1,Target Center
11/10,6:00 PM,6:00 PM,3IN4-B2B,Charlotte Hornets,Philadelphia 76ers,1,Wells Fargo Center
11/10,6:00 PM,6:00 PM,1,Indiana Pacers,Orlando Magic,1,Amway Center
11/10,7:00 PM,6:00 PM,1,Milwaukee Bucks,Oklahoma City Thunder,3IN4-B2B,Chesapeake Energy Arena
11/10,7:30 PM,7:30 PM,1,Cleveland Cavaliers,New York Knicks,1,Madison Square Garden
11/10,8:00 PM,5:00 PM,1,Brooklyn Nets,Phoenix Suns,2,Talking Stick Resort Arena
11/10,9:00 PM,6:00 PM,1,Atlanta Hawks,Portland Trail Blazers,3IN4,Moda Center
11/10,9:30 PM,6:30 PM,1,Toronto Raptors,Los Angeles Lakers,1,Staples Center
11/11,7:00 PM,7:00 PM,3IN4-B2B,Minnesota Timberwolves,Detroit Pistons,2,Little Caesars Arena
11/11,7:30 PM,7:30 PM,3IN4,Dallas Mavericks,Boston Celtics,1,TD Garden
11/11,8:00 PM,7:00 PM,1,Houston Rockets,New Orleans Pelicans,3IN4,Smoothie King Center
11/11,8:30 PM,7:30 PM,3IN4,Memphis Grizzlies,San Antonio Spurs,1,AT&T Center
11/11,10:30 PM,7:30 PM,2,Utah Jazz,Golden State Warriors,3IN4,Chase Center
11/11,10:30 PM,7:30 PM,3IN4-B2B,Toronto Raptors,Los Angeles Clippers,3+,Staples Center
11/12,7:00 PM,7:00 PM,1,Cleveland Cavaliers,Philadelphia 76ers,1,Wells Fargo Center
11/12,7:00 PM,7:00 PM,3IN4,Oklahoma City Thunder,Indiana Pacers,1,Bankers Life Fieldhouse
11/12,7:30 PM,7:30 PM,B2B,Detroit Pistons,Miami Heat,3+,American Airlines Arena
11/12,8:00 PM,7:00 PM,1,New York Knicks,Chicago Bulls,2,United Center
11/12,9:00 PM,7:00 PM,1,Atlanta Hawks,Denver Nuggets,1,Pepsi Center
11/12,9:00 PM,7:00 PM,1,Brooklyn Nets,Utah Jazz,B2B,Vivint Smart Home Arena
11/12,9:00 PM,6:00 PM,1,Los Angeles Lakers,Phoenix Suns,1,Talking Stick Resort Arena
11/12,10:00 PM,7:00 PM,1,Portland Trail Blazers,Sacramento Kings,3+,Golden 1 Center
11/13,7:00 PM,7:00 PM,1,Memphis Grizzlies,Charlotte Hornets,2,Spectrum Center
11/13,7:00 PM,7:00 PM,3IN4-B2B,Philadelphia 76ers,Orlando Magic,2,Amway Center
11/13,7:30 PM,7:30 PM,3+,Washington Wizards,Boston Celtics,1,TD Garden
11/13,7:30 PM,6:30 PM,1,Los Angeles Clippers,Houston Rockets,1,Toyota Center
11/13,8:00 PM,7:00 PM,1,San Antonio Spurs,Minnesota Timberwolves,3IN4,Target Center
11/13,10:00 PM,7:00 PM,1,Golden State Warriors,Los Angeles Lakers,3IN4-B2B,Staples Center
11/13,10:00 PM,7:00 PM,3IN4,Toronto Raptors,Portland Trail Blazers,3IN4-B2B,Moda Center
11/14,6:00 PM,6:00 PM,1,Miami Heat,Cleveland Cavaliers,1,Rocket Mortgage FieldHouse
11/14,8:00 PM,7:00 PM,1,Chicago Bulls,Milwaukee Bucks,3+,Fiserv Forum
11/14,8:00 PM,8:00 PM,2,Dallas Mavericks,New York Knicks,1,Madison Square Garden
11/14,8:00 PM,7:00 PM,3IN4-B2B,Los Angeles Clippers,New Orleans Pelicans,2,Smoothie King Center
11/14,9:00 PM,6:00 PM,1,Atlanta Hawks,Phoenix Suns,1,Talking Stick Resort Arena
11/14,10:30 PM,8:30 PM,1,Brooklyn Nets,Denver Nuggets,1,Pepsi Center
11/15,7:00 PM,7:00 PM,2,Detroit Pistons,Charlotte Hornets,1,Spectrum Center
11/15,7:00 PM,7:00 PM,1,San Antonio Spurs,Orlando Magic,1,Amway Center
11/15,8:00 PM,7:00 PM,2,Indiana Pacers,Houston Rockets,1,Toyota Center
11/15,8:00 PM,7:00 PM,2,Utah Jazz,Memphis Grizzlies,1,FedExForum
11/15,8:00 PM,7:00 PM,1,Washington Wizards,Minnesota Timberwolves,1,Target Center
11/15,8:00 PM,7:00 PM,3IN4,Philadelphia 76ers,Oklahoma City Thunder,2,Chesapeake Energy Arena
11/15,10:30 PM,7:30 PM,1,Boston Celtics,Golden State Warriors,1,Chase Center
11/15,10:30 PM,7:30 PM,2,Sacramento Kings,Los Angeles Lakers,3IN4,Staples Center
11/16,6:00 PM,5:00 PM,1,Brooklyn Nets,Chicago Bulls,1,United Center
11/16,7:00 PM,7:00 PM,1,Milwaukee Bucks,Indiana Pacers,B2B,Bankers Life Fieldhouse
11/16,7:30 PM,7:30 PM,3IN4-B2B,Charlotte Hornets,New York Knicks,1,Madison Square Garden
11/16,8:00 PM,7:00 PM,3IN4-B2B,Houston Rockets,Minnesota Timberwolves,3IN4-B2B,Target Center
11/16,8:00 PM,8:00 PM,1,New Orleans Pelicans,Miami Heat,1,American Airlines Arena
11/16,8:30 PM,7:30 PM,2,Toronto Raptors,Dallas Mavericks,1,American Airlines Center
11/16,8:30 PM,7:30 PM,2,Portland Trail Blazers,San Antonio Spurs,3IN4-B2B,AT&T Center
11/16,10:30 PM,7:30 PM,1,Atlanta Hawks,Los Angeles Clippers,3IN4,Staples Center
